2025-12-26 22:57:30 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/05/202505291534204597692.zip
2025-12-26 22:57:30 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 中国机构配置手册：银行资产负债篇（115页）
2025-12-26 22:57:30 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/05/202505221458413775923.zip
2025-12-26 22:57:30 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 2024年中国创投市场数据报告（73页）
2025-12-26 22:57:30 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/05/202505191219393501370.zip
2025-12-26 22:57:30 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 中国人身险产品变迁历史与未来展望系列报告（21页）
2025-12-26 22:57:30 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/06/202506181022038068093.zip
2025-12-26 22:57:30 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 稳定币研究报告：如何重塑非银金融生态（31页）
2025-12-26 22:57:30 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/06/202506171151526359663.zip
2025-12-26 22:57:30 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 现实世界资产代币化行业报告：RWA（30页）
2025-12-26 22:57:30 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/05/202505121147254793602.zip
2025-12-26 22:57:30 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 消费类REITs研究报告（27页）
2025-12-26 22:57:30 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/05/202505061620105292913.zip
2025-12-26 22:57:30 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 银行行业报告：从年报看国有大行经营与资产配置变化（37页）
2025-12-26 22:57:30 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/05/202505061340425919384.zip
2025-12-26 22:57:31 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 中国人身险产品变迁历史与未来展望系列报告（38页）
